AssetClass,Key,Date,High,Low,Close,Volume
equity,INE131A01031,2023-09-20,265.1863,255.8491,259.7734,3555702
equity,INE131A01031,2023-09-21,266.5395,254.2252,255.6236,4766962
equity,INE131A01031,2023-09-22,257.9739,249.5597,251.1579,3698092
equity,INE131A01031,2023-09-25,254.3074,247.5384,251.957,3475698
equity,INE131A01031,2023-09-26,261.0763,252.192,257.8799,2984364
equity,INE131A01031,2023-09-27,270.9948,255.9526,268.1744,6646544
equity,INE131A01031,2023-09-28,272.546,264.5079,266.0121,2441001
equity,INE131A01031,2023-09-29,304.4637,266.9992,298.1648,23800714
equity,INE131A01031,2023-10-03,319.0829,290.5967,309.7285,23871230
equity,INE131A01031,2023-10-04,317.7197,294.0282,305.1688,10075157
equity,INE131A01031,2023-10-05,321.2922,305.5919,307.4722,9147508
equity,INE131A01031,2023-10-06,315.8864,302.3954,309.8225,6938267
equity,INE131A01031,2023-10-09,306.297,297.3187,300.4211,3684662
equity,INE131A01031,2023-10-10,360.4959,302.9595,359.4618,36833145
equity,INE131A01031,2023-10-11,379.5338,354.9021,361.013,21684382
equity,INE131A01031,2023-10-12,398.2895,362.0001,380.1448,31013767
equity,INE131A01031,2023-10-13,393.6358,375.3031,384.5165,9895496
equity,INE131A01031,2023-10-16,408.396,382.3542,391.3795,13900473
equity,INE131A01031,2023-10-17,401.909,390.1573,391.8026,5866441
equity,INE131A01031,2023-10-18,397.3023,370.1324,375.1151,7225537
equity,INE131A01031,2023-10-19,387.995,368.5341,379.0166,5291424
equity,INE131A01031,2023-10-20,384.5165,358.7567,369.7093,4767399
equity,INE131A01031,2023-10-23,372.2947,322.4674,331.6807,8505392
equity,INE131A01031,2023-10-25,350.4835,322.7964,338.6378,9977284
equity,INE131A01031,2023-10-26,346.3469,324.8177,340.048,8466850
equity,INE131A01031,2023-10-27,354.244,339.4369,346.5819,6535152
equity,INE131A01031,2023-10-30,347.663,334.6891,338.7787,3834008
equity,INE131A01031,2023-10-31,347.146,333.796,336.2874,2739299
equity,INE131A01031,2023-11-01,339.6719,324.3476,330.8346,4496406
equity,INE131A01031,2023-11-02,314.0061,293.5111,304.7458,13739749
equity,INE131A01031,2023-11-03,313.9591,306.0149,307.6602,3489731
equity,INE131A01031,2023-11-06,312.8309,294.4982,296.5195,2858793
equity,INE131A01031,2023-11-07,308.3653,288.7164,300.8442,6162808
equity,INE131A01031,2023-11-08,345.2657,300.5151,339.4368,19370556
equity,INE131A01031,2023-11-09,354.3851,335.6763,343.8085,10962621
equity,INE131A01031,2023-11-10,359.6028,337.4156,356.5004,7760438
equity,INE131A01031,2023-11-13,380.7089,363.2223,365.3846,6209235
equity,INE131A01031,2023-11-15,373.4229,360.449,362.9873,4215836
equity,INE131A01031,2023-11-16,380.5679,361.2951,366.6539,7295380
equity,INE131A01031,2023-11-17,368.5341,360.496,362.8463,2711627
equity,INE131A01031,2023-11-20,378.4056,363.8335,367.829,4843016
equity,INE131A01031,2023-11-21,380.0508,367.9701,369.1452,4903740
equity,INE131A01031,2023-11-22,412.7206,367.688,399.0416,36550197
equity,INE131A01031,2023-11-23,408.208,385.5507,387.854,9237116
equity,INE131A01031,2023-11-24,393.8709,362.1412,364.6796,7962694
equity,INE131A01031,2023-11-28,387.7129,361.06,383.5763,10506069
equity,INE131A01031,2023-11-29,391.9435,370.5084,374.363,4987950
equity,INE131A01031,2023-11-30,389.6402,370.6494,386.9608,6337440
equity,INE131A01031,2023-12-01,405.1995,383.8114,392.1786,8234222
equity,INE131A01031,2023-12-04,423.0621,395.375,404.0243,10581099
equity,INE131A01031,2023-12-05,412.0155,397.7724,401.486,4295133
equity,INE131A01031,2023-12-06,413.5667,395.9391,407.5968,4869967
equity,INE131A01031,2023-12-07,409.5711,394.905,397.1143,3160770
equity,INE131A01031,2023-12-08,413.6137,385.9737,391.2855,8242794
equity,INE131A01031,2023-12-11,398.2425,380.1918,382.2601,3447309
equity,INE131A01031,2023-12-12,391.0974,372.4827,377.1834,3779111
equity,INE131A01031,2023-12-13,398.9946,379.8158,390.2513,8807870
equity,INE131A01031,2023-12-14,397.4434,383.5763,386.4438,3209423
equity,INE131A01031,2023-12-15,390.0633,378.8757,381.508,2364366
equity,INE131A01031,2023-12-18,385.2686,377.0423,379.7688,1815781
equity,INE131A01031,2023-12-19,398.5245,380.2859,388.23,7180543
equity,INE131A01031,2023-12-20,396.7383,353.586,365.4317,5427788
equity,INE131A01031,2023-12-21,382.5422,359.1327,380.2389,4161808
equity,INE131A01031,2023-12-22,390.6274,377.7945,383.2003,2578264
equity,INE131A01031,2023-12-26,391.5205,380.1918,386.7728,2755320
equity,INE131A01031,2023-12-27,401.815,382.9653,385.1746,4420928
equity,INE131A01031,2023-12-28,394.858,383.5763,385.3626,4058354
equity,INE131A01031,2023-12-29,389.4522,380.7559,382.6362,2641585
equity,INE131A01031,2024-01-01,413.6138,383.4823,406.8448,15590376
equity,INE131A01031,2024-01-02,420.2417,397.0673,407.6439,9875294
equity,INE131A01031,2024-01-03,418.3615,404.3064,406.4687,6910138
equity,INE131A01031,2024-01-04,418.3614,407.5499,412.7206,5650960
equity,INE131A01031,2024-01-05,433.7327,414.8829,423.1091,10605503
equity,INE131A01031,2024-01-08,436.4121,421.7459,424.7074,6089195
