Symbol,Name,YahooTicker,Category,Unit
CRUDEWTI,Crude Oil (WTI),CL=F,Energy,USD/bbl
CRUDEBRENT,Crude Oil (Brent),BZ=F,Energy,USD/bbl
NATGAS,Natural Gas,NG=F,Energy,USD/MMBtu
RBOB,RBOB Gasoline,RB=F,Energy,USD/gal
HEATOIL,Heating Oil,HO=F,Energy,USD/gal
COPPER,Copper,HG=F,Industrial & Base Metals,USD/lb
ALUMINUM,Aluminum,ALI=F,Industrial & Base Metals,USD/tonne
ZINC,Zinc,ZNC=F,Industrial & Base Metals,USD/tonne
IRONORE,Iron Ore (62% Fe CFR),TIO=F,Industrial & Base Metals,USD/tonne
STEEL,Steel (HRC),HRC=F,Industrial & Base Metals,USD/ton
GOLD,Gold,GC=F,Precious Metals,USD/oz
SILVER,Silver,SI=F,Precious Metals,USD/oz
PLATINUM,Platinum,PL=F,Precious Metals,USD/oz
PALLADIUM,Palladium,PA=F,Precious Metals,USD/oz
SOYBEAN,Soybeans,ZS=F,Agricultural & Food,USD/bushel
SOYOIL,Soybean Oil,ZL=F,Agricultural & Food,USD/lb
SOYMEAL,Soybean Meal,ZM=F,Agricultural & Food,USD/ton
WHEAT,Wheat (Chicago SRW),ZW=F,Agricultural & Food,USD/bushel
CORN,Corn,ZC=F,Agricultural & Food,USD/bushel
COFFEE,Coffee (Arabica),KC=F,Agricultural & Food,USD/lb
SUGAR,Sugar (#11),SB=F,Agricultural & Food,USD/lb
COCOA,Cocoa,CC=F,Agricultural & Food,USD/tonne
COTTON,Cotton,CT=F,Agricultural & Food,USD/lb
ROUGHRICE,Rough Rice,ZR=F,Agricultural & Food,USD/cwt
CANOLA,Canola / Rapeseed,RS=F,Agricultural & Food,CAD/tonne
MILK,Milk (Class III),DC=F,Agricultural & Food,USD/cwt
PALMOIL,Palm Oil,CPO=F,Agricultural & Food,MYR/tonne
