Symbol,Date,High,Low,Close,Volume
CRUDEWTI,2021-09-09,69.889999,67.559998,68.139999,556451
CRUDEWTI,2021-09-10,69.959999,67.68,69.720001,411079
CRUDEWTI,2021-09-13,70.970001,69.510002,70.449997,390939
CRUDEWTI,2021-09-14,71.220001,69.980003,70.459999,414231
CRUDEWTI,2021-09-15,73.139999,70.650002,72.610001,418665
CRUDEWTI,2021-09-16,72.989998,71.529999,72.610001,298412
CRUDEWTI,2021-09-17,72.720001,71.209999,71.970001,119933
CRUDEWTI,2021-09-20,72.080002,69.860001,70.290001,75837
CRUDEWTI,2021-09-21,71.629997,69.669998,70.559998,393403
CRUDEWTI,2021-09-22,72.300003,70.639999,72.230003,381061
CRUDEWTI,2021-09-23,73.5,71.610001,73.300003,403405
CRUDEWTI,2021-09-24,74.269997,72.809998,73.980003,350382
CRUDEWTI,2021-09-27,75.75,74.160004,75.449997,417829
CRUDEWTI,2021-09-28,76.669998,74.239998,75.290001,476143
CRUDEWTI,2021-09-29,75.790001,73.739998,74.830002,424193
CRUDEWTI,2021-09-30,76.07,73.139999,75.029999,583189
CRUDEWTI,2021-10-01,75.989998,74.230003,75.879997,388996
CRUDEWTI,2021-10-04,78.379997,75.32,77.620003,458006
CRUDEWTI,2021-10-05,79.480003,77.470001,78.93,449617
CRUDEWTI,2021-10-06,79.779999,76.830002,77.43,459055
CRUDEWTI,2021-10-07,78.889999,74.959999,78.300003,545008
CRUDEWTI,2021-10-08,80.110001,78.629997,79.349998,662010
CRUDEWTI,2021-10-11,82.18,79.550003,80.519997,653756
CRUDEWTI,2021-10-12,81.620003,79.470001,80.639999,598181
CRUDEWTI,2021-10-13,81.040001,79.419998,80.440002,487220
CRUDEWTI,2021-10-14,81.68,80.379997,81.309998,399813
CRUDEWTI,2021-10-15,82.660004,81.389999,82.279999,277953
CRUDEWTI,2021-10-18,83.870003,81.839996,82.440002,134098
CRUDEWTI,2021-10-19,83.739998,81.800003,82.959999,82607
CRUDEWTI,2021-10-20,84.25,81.300003,83.870003,530693
CRUDEWTI,2021-10-21,83.959999,80.790001,82.5,567503
CRUDEWTI,2021-10-22,84.220001,81.760002,83.760002,465355
CRUDEWTI,2021-10-25,85.410004,83.389999,83.760002,568725
CRUDEWTI,2021-10-26,84.879997,82.970001,84.650002,467716
CRUDEWTI,2021-10-27,84.510002,82.010002,82.660004,529952
CRUDEWTI,2021-10-28,83.209999,80.580002,82.809998,491585
CRUDEWTI,2021-10-29,83.739998,81.410004,83.57,507309
CRUDEWTI,2021-11-01,84.879997,82.739998,84.050003,412309
CRUDEWTI,2021-11-02,84.410004,82.919998,83.910004,429608
CRUDEWTI,2021-11-03,83.080002,79.690002,80.860001,546577
CRUDEWTI,2021-11-04,83.419998,78.25,78.809998,701119
CRUDEWTI,2021-11-05,81.800003,78.959999,81.269997,531054
CRUDEWTI,2021-11-08,82.669998,81.050003,81.93,393953
CRUDEWTI,2021-11-09,84.629997,81.779999,84.150002,504832
CRUDEWTI,2021-11-10,84.970001,80.809998,81.339996,555215
CRUDEWTI,2021-11-11,82.330002,80.199997,81.589996,475436
CRUDEWTI,2021-11-12,81.620003,79.779999,80.790001,390304
