ISIN,Symbol,Name,Sector,IndustryGroup,MarketCap,CurrentPrice,NSECode,BSECode
INE002A01018,RELIANCE,Reliance Industries Ltd.,Refineries/Petro-Products,Oil & Gas,1789001.62,1322.0,RELIANCE,500325.0
INE397D01024,BHARTIARTL,Bharti Airtel Ltd.,Telecom Services,Telecom Services,1121215.04,1840.0,BHARTIARTL,532454.0
INE040A01034,HDFCBANK,HDFC Bank Ltd.,Banks,Banking and Finance,1097643.69,712.1,HDFCBANK,500180.0
INE090A01021,ICICIBANK,ICICI Bank Ltd.,Banks,Banking and Finance,1021462.56,1423.2,ICICIBANK,532174.0
INE062A01020,SBIN,State Bank of India,Banks,Banking and Finance,937923.05,1016.1,SBIN,500112.0
INE467B01029,TCS,Tata Consultancy Services Ltd.,IT Consulting & Software,Software & Services,833607.36,2304.0,TCS,532540.0
INE296A01032,BAJFINANCE,Bajaj Finance Ltd.,Finance (including NBFCs),Banking and Finance,660262.45,1060.5,BAJFINANCE,500034.0
INE018A01030,LT,Larsen & Toubro Ltd.,Construction & Engineering,Cement and Construction,557714.1,3964.1,LT,500510.0
INE0J1Y01017,LICI,Life Insurance Corporation of India,Life Insurance,Banking and Finance,525417.56,415.35,LICI,543526.0
INE030A01027,HINDUNILVR,Hindustan Unilever Ltd.,Personal Products,FMCG,463668.35,1973.4,HINDUNILVR,500696.0
INE009A01021,INFY,Infosys Ltd.,IT Consulting & Software,Software & Services,458580.27,1130.0,INFY,500209.0
INE044A01036,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,455633.72,1899.0,SUNPHARMA,524715.0
INE280A01028,TITAN,Titan Company Ltd.,Gems & Jewellery,Textiles Apparels & Accessories,445668.67,5020.0,TITAN,500114.0
INE237A01036,KOTAKBANK,Kotak Mahindra Bank Ltd.,Banks,Banking and Finance,422278.0,424.5,KOTAKBANK,500247.0
INE814H01029,ADANIPOWER,Adani Power Ltd.,Power - Electric Utilities,Utilities,399578.87,207.2,ADANIPOWER,533096.0
INE585B01010,MARUTI,Maruti Suzuki India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,399102.66,12694.0,MARUTI,532500.0
INE423A01024,ADANIENT,Adani Enterprises Ltd.,Commodity Trading  & Distribution,Commercial Services & Supplies,397632.24,2938.0,ADANIENT,512599.0
INE238A01034,AXISBANK,Axis Bank Ltd.,Banks,Banking and Finance,396316.11,1273.0,AXISBANK,532215.0
INE101A01026,M&M,Mahindra & Mahindra Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,394198.63,3170.0,M&M,500520.0
INE742F01042,ADANIPORTS,Adani Ports & Special Economic Zone Ltd.,Marine Port & Services,Transportation,368800.51,1707.3,ADANIPORTS,532921.0
INE860A01027,HCLTECH,HCL Technologies Ltd.,IT Consulting & Software,Software & Services,350985.44,1293.4,HCLTECH,532281.0
INE481G01011,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,Cement and Construction,336170.03,11408.0,ULTRACEMCO,532538.0
INE917I01010,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,Automobiles & Auto Components,333133.43,11919.0,BAJAJ-AUTO,532977.0
INE154A01025,ITC,ITC Ltd.,Cigarettes-Tobacco Products,"Food, Beverages & Tobacco",330911.54,264.1,ITC,500875.0
INE066F01020,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defence,General Industrials,324757.14,4856.0,HAL,541154.0
INE019A01038,JSWSTEEL,JSW Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,324022.66,1325.0,JSWSTEEL,500228.0
INE733E01010,NTPC,NTPC Ltd.,Power - Electric Utilities,Utilities,322414.15,332.5,NTPC,532555.0
INE918I01026,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Companies,Diversified,315308.35,1970.0,BAJAJFINSV,532978.0
INE758T01015,ETERNAL,Eternal Ltd.,Internet & Catalogue Retail,Retailing,311465.07,322.75,ETERNAL,543320.0
INE263A01024,BEL,Bharat Electronics Ltd.,Aerospace & Defence,General Industrials,296301.88,405.35,BEL,500049.0
INE213A01029,ONGC,Oil And Natural Gas Corporation Ltd.,Exploration & Production,Oil & Gas,295196.25,234.65,ONGC,500312.0
INE239A01024,NESTLEIND,Nestle India Ltd.,Packaged Foods,FMCG,271988.73,1410.5,NESTLEIND,500790.0
INE522F01014,COALINDIA,Coal India Ltd.,Coal & Mining,Metals & Mining,255968.92,415.35,COALINDIA,533278.0
INE267A01025,HINDZINC,Hindustan Zinc Ltd.,Other Non-Ferrous Metals,Metals & Mining,253941.67,601.0,HINDZINC,500188.0
INE752E01010,POWERGRID,Power Grid Corporation of India Ltd.,Power - Electric Utilities,Utilities,247396.06,266.0,POWERGRID,532898.0
INE192R01011,DMART,Avenue Supermarts Ltd.,Department Stores,Retailing,245896.74,3770.0,DMART,540376.0
INE721A01047,SHRIRAMFIN,Shriram Finance Ltd.,Finance (including NBFCs),Banking and Finance,244945.58,1041.0,SHRIRAMFIN,511218.0
INE021A01026,ASIANPAINT,Asian Paints Ltd.,Paints,Consumer Durables,242418.06,2527.3,ASIANPAINT,500820.0
INE361B01024,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,241576.43,9100.0,DIVISLAB,532488.0
INE081A01020,TATASTEEL,Tata Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,235676.59,188.79,TATASTEEL,500470.0
INE038A01020,HINDALCO,Hindalco Industries Ltd.,Aluminium and Aluminium Products,Metals & Mining,227194.6,1011.0,HINDALCO,500440.0
INE047A01021,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,Cement and Construction,226069.14,3322.0,GRASIM,500300.0
INE364U01010,ADANIGREEN,Adani Green Energy Ltd.,Green & Renewable Energy,Utilities,214347.04,1301.3,ADANIGREEN,541450.0
INE066A01021,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,Automobiles & Auto Components,209470.12,7630.5,EICHERMOT,505200.0
INE494B01023,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,Automobiles & Auto Components,196358.25,4133.1,TVSMOTOR,532343.0
INE242A01010,IOC,Indian Oil Corporation Ltd.,Oil Marketing & Distribution,Oil & Gas,194308.24,137.6,IOC,530965.0
INE343H01029,SOLARINDS,Solar Industries India Ltd.,Other Industrial Products,General Industrials,194056.02,21445.0,SOLARINDS,532725.0
INE646L01027,INDIGO,InterGlobe Aviation Ltd.,Airlines,Transportation,192443.97,4977.0,INDIGO,539448.0
INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,184744.69,4857.0,TORNTPHARM,500420.0
INE0V6F01027,HYUNDAI,Hyundai Motor India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,179165.31,2205.0,HYUNDAI,544274.0
INE123W01016,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,Banking and Finance,178094.55,1775.0,SBILIFE,540719.0
INE075A01022,WIPRO,Wipro Ltd.,IT Consulting & Software,Software & Services,174718.4,176.4,WIPRO,507685.0
INE931S01010,ADANIENSOL,Adani Energy Solutions Ltd.,Power - Electric Utilities,Utilities,172387.67,1409.6,ADANIENSOL,539254.0
INE1CDF01017,VAML,Vedanta Aluminium Metal Ltd.,Aluminium and Aluminium Products,Metals & Mining,171177.24,437.75,VAML,544780.0
INE775A01035,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,169609.89,160.7,MOTHERSON,517334.0
INE271C01023,DLF,DLF Ltd.,Realty,Realty,168791.5,681.9,DLF,532868.0
INE1TAE01010,TMCV,Tata Motors Ltd.,Commercial Vehicles,Automobiles & Auto Components,168741.33,458.2,TMCV,544569.0
INE318A01026,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,165863.5,1629.5,PIDILITIND,500331.0
INE669E01016,IDEA,Vodafone Idea Ltd.,Telecom Services,Telecom Services,162731.24,15.02,IDEA,532822.0
INE976I01016,TATACAP,Tata Capital Ltd.,Finance (including NBFCs),Banking and Finance,159203.81,375.05,TATACAP,544574.0
INE758E01017,JIOFIN,Jio Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,158145.24,239.5,JIOFIN,543940.0
INE117A01022,ABB,ABB India Ltd.,Heavy Electrical Equipment,General Industrials,157024.12,7410.0,ABB,500002.0
INE669C01036,TECHM,Tech Mahindra Ltd.,IT Consulting & Software,Software & Services,156517.57,1596.9,TECHM,532755.0
INE121A01024,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd.,Finance (including NBFCs),Banking and Finance,154997.71,1839.0,CHOLAFIN,511243.0
INE849A01020,TRENT,Trent Ltd.,Department Stores,Retailing,152131.18,2853.0,TRENT,500251.0
INE257A01026,BHEL,Bharat Heavy Electricals Ltd.,Heavy Electrical Equipment,General Industrials,150111.75,431.1,BHEL,500103.0
INE346A01027,ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Asset Management Cos.,Banking and Finance,146839.26,2970.9,ICICIAMC,544658.0
INE692A01016,UNIONBANK,Union Bank of India,Banks,Banking and Finance,142916.36,187.22,UNIONBANK,532477.0
INE003A01024,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,General Industrials,141629.12,3977.0,SIEMENS,500550.0
INE07Y701011,POWERINDIA,Hitachi Energy India Ltd.,Heavy Electrical Equipment,General Industrials,141071.65,31650.0,POWERINDIA,543187.0
INE067A01029,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,General Industrials,140372.6,891.0,CGPOWER,500093.0
INE298A01020,CUMMINSIND,Cummins India Ltd.,Industrial Machinery,General Industrials,139570.2,5035.0,CUMMINSIND,500480.0
INE118H01025,BSE,BSE Ltd.,Capital Markets,Banking and Finance,138481.9,3409.8,BSE,
