ISIN,Symbol,Name,Sector,IndustryGroup,MarketCap,PE,PB
INE002A01018,RELIANCE,Reliance Industries Ltd.,Refineries/Petro-Products,Oil & Gas,1806323.27,,
INE397D01024,BHARTIARTL,Bharti Airtel Ltd.,Telecom Services,Telecom Services,1194276.82,,
INE040A01034,HDFCBANK,HDFC Bank Ltd.,Banks,Banking and Finance,1126426.53,,
INE090A01021,ICICIBANK,ICICI Bank Ltd.,Banks,Banking and Finance,1019688.1,,
INE062A01020,SBIN,State Bank of India,Banks,Banking and Finance,1012783.36,,
INE467B01029,TCS,Tata Consultancy Services Ltd.,IT Consulting & Software,Software & Services,887408.32,,
INE296A01032,BAJFINANCE,Bajaj Finance Ltd.,Finance (including NBFCs),Banking and Finance,671157.87,,
INE018A01030,LT,Larsen & Toubro Ltd.,Construction & Engineering,Cement and Construction,570643.63,,
INE0J1Y01017,LICI,Life Insurance Corporation of India,Life Insurance,Banking and Finance,498409.82,,
INE030A01027,HINDUNILVR,Hindustan Unilever Ltd.,Personal Products,FMCG,492474.34,,
INE009A01021,INFY,Infosys Ltd.,IT Consulting & Software,Software & Services,476862.23,,
INE044A01036,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,466670.66,,
INE585B01010,MARUTI,Maruti Suzuki India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,441326.93,,
INE280A01028,TITAN,Titan Company Ltd.,Gems & Jewellery,Textiles Apparels & Accessories,438655.16,,
INE423A01024,ADANIENT,Adani Enterprises Ltd.,Commodity Trading  & Distribution,Commercial Services & Supplies,408730.21,,
INE814H01029,ADANIPOWER,Adani Power Ltd.,Power - Electric Utilities,Utilities,403050.12,,
INE237A01036,KOTAKBANK,Kotak Mahindra Bank Ltd.,Banks,Banking and Finance,388693.51,,
INE238A01034,AXISBANK,Axis Bank Ltd.,Banks,Banking and Finance,385222.21,,
INE860A01027,HCLTECH,HCL Technologies Ltd.,IT Consulting & Software,Software & Services,368135.81,,
INE742F01042,ADANIPORTS,Adani Ports & Special Economic Zone Ltd.,Marine Port & Services,Transportation,365819.52,,
INE154A01025,ITC,ITC Ltd.,Cigarettes-Tobacco Products,"Food, Beverages & Tobacco",358468.09,,
INE481G01011,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,Cement and Construction,356709.17,,
INE733E01010,NTPC,NTPC Ltd.,Power - Electric Utilities,Utilities,332110.81,,
INE066F01020,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defence,General Industrials,328368.52,,
INE918I01026,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Companies,Diversified,321534.49,,
INE019A01038,JSWSTEEL,JSW Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,317786.75,,
INE758T01015,ETERNAL,Eternal Ltd.,Internet & Catalogue Retail,Retailing,303986.04,,
INE213A01029,ONGC,Oil And Natural Gas Corporation Ltd.,Exploration & Production,Oil & Gas,300479.97,,
INE239A01024,NESTLEIND,Nestle India Ltd.,Packaged Foods,FMCG,296960.4,,
INE263A01024,BEL,Bharat Electronics Ltd.,Aerospace & Defence,General Industrials,293122.13,,
INE721A01047,SHRIRAMFIN,Shriram Finance Ltd.,Finance (including NBFCs),Banking and Finance,262353.75,,
INE021A01026,ASIANPAINT,Asian Paints Ltd.,Paints,Consumer Durables,262340.6,,
INE522F01014,COALINDIA,Coal India Ltd.,Coal & Mining,Metals & Mining,255907.29,,
INE267A01025,HINDZINC,Hindustan Zinc Ltd.,Other Non-Ferrous Metals,Metals & Mining,254786.74,,
INE192R01011,DMART,Avenue Supermarts Ltd.,Department Stores,Retailing,254375.94,,
INE752E01010,POWERGRID,Power Grid Corporation of India Ltd.,Power - Electric Utilities,Utilities,252604.4,,
INE038A01020,HINDALCO,Hindalco Industries Ltd.,Aluminium and Aluminium Products,Metals & Mining,238116.12,,
INE081A01020,TATASTEEL,Tata Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,234128.63,,
INE047A01021,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,Cement and Construction,226137.19,,
INE364U01010,ADANIGREEN,Adani Green Energy Ltd.,Green & Renewable Energy,Utilities,226058.46,,
INE066A01021,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,Automobiles & Auto Components,220162.55,,
INE361B01024,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,219675.27,,
INE494B01023,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,Automobiles & Auto Components,210981.43,,
INE646L01027,INDIGO,InterGlobe Aviation Ltd.,Airlines,Transportation,206209.3,,
INE242A01010,IOC,Indian Oil Corporation Ltd.,Oil Marketing & Distribution,Oil & Gas,202470.32,,
INE931S01010,ADANIENSOL,Adani Energy Solutions Ltd.,Power - Electric Utilities,Utilities,199353.81,,
INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,187293.15,,
INE123W01016,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,Banking and Finance,186155.08,,
INE075A01022,WIPRO,Wipro Ltd.,IT Consulting & Software,Software & Services,185737.13,,
INE0V6F01027,HYUNDAI,Hyundai Motor India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,178799.67,,
INE775A01035,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,177842.36,,
INE758E01017,JIOFIN,Jio Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,169568.68,,
