Symbol,Name,YahooTicker
BTC,Bitcoin,BTC-USD
ETH,Ethereum,ETH-USD
USDT,Tether,USDT-USD
BNB,BNB,BNB-USD
XRP,XRP,XRP-USD
SOL,Solana,SOL-USD
TRX,TRON,TRX-USD
HYPE,Hyperliquid,HYPE32196-USD
DOGE,Dogecoin,DOGE-USD
XMR,Monero,XMR-USD
LINK,Chainlink,LINK-USD
LEO,UNUS SED LEO,LEO-USD
ADA,Cardano,ADA-USD
XLM,Stellar,XLM-USD
DAI,Dai,DAI-USD
USDE,Ethena USDe,USDE-USD
CC,Canton,CC-USD
LTC,Litecoin,LTC-USD
TON,Toncoin,TON11419-USD
HBAR,Hedera,HBAR-USD
AVAX,Avalanche,AVAX-USD
SUI,Sui,SUI20947-USD
SHIB,Shiba Inu,SHIB-USD
NEAR,NEAR Protocol,NEAR-USD
MATIC,Polygon,MATIC-USD
UNI,Uniswap,UNI-USD
