Symbol,Date,High,Low,Close,Volume
USD,2021-09-09,92.760002,92.379997,92.480003,
USD,2021-09-10,92.650002,92.330002,92.580002,
USD,2021-09-13,92.889999,92.57,92.620003,
USD,2021-09-14,92.68,92.32,92.650002,
USD,2021-09-15,92.68,92.419998,92.489998,
USD,2021-09-16,92.959999,92.459999,92.860001,
USD,2021-09-17,93.25,92.769997,93.199997,
USD,2021-09-20,93.449997,93.190002,93.239998,
USD,2021-09-21,93.290001,93.050003,93.199997,
USD,2021-09-22,93.510002,92.989998,93.459999,
USD,2021-09-23,93.519997,92.980003,93.099998,
USD,2021-09-24,93.419998,93.050003,93.330002,
USD,2021-09-27,93.489998,93.209999,93.379997,
USD,2021-09-28,93.809998,93.360001,93.769997,
USD,2021-09-29,94.43,93.669998,94.339996,
USD,2021-09-30,94.5,94.110001,94.25,
USD,2021-10-01,94.389999,93.989998,94.040001,
USD,2021-10-04,94.099998,93.68,93.809998,
USD,2021-10-05,94.07,93.809998,93.980003,
USD,2021-10-06,94.449997,93.980003,94.269997,
USD,2021-10-07,94.279999,94.080002,94.220001,
USD,2021-10-08,94.339996,93.940002,94.07,
USD,2021-10-11,94.400002,94.029999,94.32,
USD,2021-10-12,94.559998,94.230003,94.519997,
USD,2021-10-13,94.529999,94.010002,94.080002,
USD,2021-10-14,94.089996,93.760002,93.959999,
USD,2021-10-15,94.07,93.849998,93.940002,
USD,2021-10-18,94.169998,93.870003,93.949997,
USD,2021-10-19,93.949997,93.5,93.790001,
USD,2021-10-20,93.879997,93.540001,93.559998,
USD,2021-10-21,93.790001,93.5,93.769997,
USD,2021-10-22,93.790001,93.540001,93.610001,
USD,2021-10-25,93.959999,93.480003,93.809998,
USD,2021-10-26,94.019997,93.709999,93.949997,
USD,2021-10-27,94.010002,93.690002,93.860001,
USD,2021-10-28,93.970001,93.279999,93.349998,
USD,2021-10-29,94.300003,93.32,94.120003,
USD,2021-11-01,94.309998,93.860001,93.879997,
USD,2021-11-02,94.129997,93.82,94.089996,
USD,2021-11-03,94.209999,93.82,93.860001,
USD,2021-11-04,94.470001,93.830002,94.349998,
USD,2021-11-05,94.620003,94.190002,94.32,
USD,2021-11-08,94.379997,93.989998,94.050003,
USD,2021-11-09,94.150002,93.879997,93.959999,
USD,2021-11-10,94.900002,93.970001,94.849998,
USD,2021-11-11,95.199997,94.839996,95.18,
USD,2021-11-12,95.269997,95.0,95.129997,
USD,2021-11-15,95.599998,94.970001,95.410004,
USD,2021-11-16,95.980003,95.400002,95.919998,
USD,2021-11-17,96.239998,95.730003,95.830002,
USD,2021-11-18,95.839996,95.519997,95.540001,
USD,2021-11-19,96.239998,95.580002,96.07,
USD,2021-11-22,96.550003,96.040001,96.5,
USD,2021-11-23,96.610001,96.309998,96.489998,
USD,2021-11-24,96.940002,96.440002,96.839996,
USD,2021-11-26,96.769997,95.75,96.089996,
USD,2021-11-29,96.449997,96.139999,96.339996,
USD,2021-11-30,96.639999,95.519997,95.989998,
USD,2021-12-01,96.139999,95.669998,96.050003,
USD,2021-12-02,96.18,95.830002,96.129997,
USD,2021-12-03,96.449997,95.970001,96.120003,
USD,2021-12-06,96.43,96.129997,96.290001,
USD,2021-12-07,96.589996,96.169998,96.370003,
USD,2021-12-08,96.379997,95.849998,95.889999,
USD,2021-12-09,96.339996,95.959999,96.269997,
USD,2021-12-10,96.43,95.980003,96.050003,
USD,2021-12-13,96.449997,96.050003,96.32,
USD,2021-12-14,96.589996,96.099998,96.57,
USD,2021-12-15,96.910004,96.300003,96.510002,
USD,2021-12-16,96.449997,95.849998,96.040001,
USD,2021-12-17,96.690002,95.879997,96.57,
USD,2021-12-20,96.690002,96.339996,96.550003,
USD,2021-12-21,96.639999,96.339996,96.489998,
USD,2021-12-22,96.599998,96.019997,96.080002,
USD,2021-12-23,96.279999,95.989998,96.019997,
USD,2021-12-27,96.260002,96.050003,96.089996,
USD,2021-12-28,96.279999,96.0,96.199997,
USD,2021-12-29,96.400002,95.760002,95.93,
USD,2021-12-30,96.220001,95.860001,95.970001,
USD,2021-12-31,96.110001,95.57,95.669998,
USD,2022-01-03,96.330002,95.629997,96.239998,
USD,2022-01-04,96.459999,96.029999,96.290001,
USD,2022-01-05,96.330002,95.889999,96.190002,
USD,2022-01-06,96.389999,96.040001,96.25,
USD,2022-01-07,96.300003,95.709999,95.739998,
USD,2022-01-10,96.230003,95.739998,95.989998,
USD,2022-01-11,96.07,95.580002,95.620003,
USD,2022-01-12,95.690002,94.910004,95.0,
USD,2022-01-13,95.019997,94.660004,94.790001,
USD,2022-01-14,95.269997,94.629997,95.169998,
USD,2022-01-18,95.830002,95.129997,95.730003,
USD,2022-01-19,95.790001,95.489998,95.510002,
USD,2022-01-20,95.860001,95.419998,95.739998,
