ISIN,FY,ROE_Pct,ROCE_Pct,DebtEquity,EPS,Sales,FixedAssets,CWIP
INE144J01027,FY23,14.24,16.68,0.37,11.85,700.76,228.65,16.79
INE144J01027,FY24,15.89,18.12,0.35,15.89,775.98,231.17,20.39
INE144J01027,FY25,14.53,15.82,0.38,17.68,911.66,299.57,16.64
INE144J01027,FY26,13.82,15.92,0.32,18.94,951.68,307.64,12.72
INE466L01038,FY23,21.07,12.54,2.17,18.12,1647.15,318.07,0.04
INE466L01038,FY24,23.31,12.83,2.71,21.86,2006.12,356.62,0.0
INE466L01038,FY25,14.37,12.35,1.56,27.14,2635.31,350.01,0.0
INE466L01038,FY26,12.37,10.4,1.61,29.19,3138.13,855.94,0.0
INE748C01038,FY23,0.21,1.68,0.15,49.5,729.11,177.58,2.84
INE748C01038,FY24,-106.86,-76.78,0.29,-17.61,813.88,155.8,2.82
INE748C01038,FY25,8.26,5.18,0.21,1.43,725.76,136.74,2.78
INE748C01038,FY26,9.3,11.11,0.16,1.82,693.36,124.85,0.0
INE470A01017,FY23,26.89,36.06,0.02,400.37,3957.28,364.25,26.59
INE470A01017,FY24,27.17,36.22,0.01,517.9,4186.87,346.89,14.79
INE470A01017,FY25,25.78,40.3,0.05,422.6,4442.86,428.39,11.53
INE470A01017,FY26,29.54,48.36,0.1,463.66,5086.95,507.64,24.44
INE618L01018,FY23,9.4,11.76,0.37,14.33,235.97,11.34,0.0
INE618L01018,FY24,10.08,11.0,0.62,16.67,259.37,21.82,0.0
INE618L01018,FY25,11.3,14.01,0.36,21.79,229.16,16.23,0.0
INE618L01018,FY26,6.81,8.93,0.58,14.13,181.02,15.28,0.0
INE111B01023,FY23,-0.52,0.65,0.0,-3.54,289.68,212.94,1.63
INE111B01023,FY24,6.65,6.1,0.0,48.29,368.84,213.1,0.7
INE111B01023,FY25,-0.97,-1.6,0.0,-7.2,46.64,210.95,0.19
INE111B01023,FY26,-0.63,-1.0,0.0,-4.87,210.63,235.13,6.51
INE883F01010,FY23,14.73,9.33,3.29,12.77,1881.01,63.03,0.0
INE883F01010,FY24,16.85,10.49,3.14,17.58,2354.23,74.73,0.0
INE883F01010,FY25,14.31,10.27,2.56,20.85,2835.17,87.03,0.0
INE883F01010,FY26,14.53,10.47,2.49,24.77,3387.44,135.2,0.0
INE767A01016,FY23,13.95,14.29,0.51,17.97,2705.57,885.92,210.48
INE767A01016,FY24,13.38,14.58,0.44,18.56,2508.87,1053.94,244.03
INE767A01016,FY25,12.28,12.48,0.45,18.35,2387.03,1149.91,290.95
INE767A01016,FY26,12.58,11.51,0.37,21.36,2565.31,1283.78,213.81
INE769A01020,FY23,11.08,9.17,0.59,15.04,6492.16,5900.17,1040.69
INE769A01020,FY24,7.87,6.59,0.68,11.49,6191.69,6745.78,1109.3
INE769A01020,FY25,5.91,6.16,0.69,9.12,7269.0,7658.26,1329.73
INE769A01020,FY26,7.04,6.46,0.83,11.55,8286.0,8332.0,2030.0
INE0LRU01027,FY23,12.42,15.89,0.14,21.35,1936.0,988.57,64.7
INE0LRU01027,FY24,12.34,15.56,0.16,23.93,1815.51,1105.45,90.76
INE0LRU01027,FY25,13.69,16.08,0.21,30.04,2115.07,1433.45,329.33
INE0LRU01027,FY26,8.22,9.72,0.36,19.25,1819.44,1706.66,305.21
INE216P01012,FY23,13.14,4.2,3.02,54.26,1355.52,74.21,0.0
INE216P01012,FY24,13.0,3.89,3.29,61.93,1679.98,85.38,0.0
INE216P01012,FY25,13.17,2.88,3.19,71.97,2125.21,92.1,0.0
INE216P01012,FY26,12.97,2.81,3.11,82.14,2392.75,123.71,0.0
INE117A01022,FY23,20.89,27.88,0.01,58.61,10366.68,1058.23,82.74
INE117A01022,FY24,26.45,35.48,0.01,88.32,12087.67,1183.9,139.46
INE117A01022,FY25,21.29,28.4,0.01,78.73,13065.32,1364.72,190.3
INE358A01014,FY23,29.78,39.06,0.04,446.78,5346.73,233.91,4.52
INE358A01014,FY24,32.48,43.1,0.02,565.28,5847.19,228.62,10.34
INE358A01014,FY25,33.41,42.85,0.05,665.62,6406.97,350.54,21.02
INE358A01014,FY26,32.51,42.54,0.04,730.36,6926.9,333.36,5.82
INE674K01013,FY23,23.61,9.87,4.17,19.77,28578.28,568.4,27.2
INE674K01013,FY24,12.44,8.87,4.11,12.95,40627.37,867.13,46.19
INE674K01013,FY25,10.97,8.55,4.6,12.67,43148.99,1004.81,32.77
INE674K01013,FY26,10.94,7.92,5.21,14.24,45927.42,989.94,24.27
INE552Z01027,FY23,0.39,11.76,1.95,0.06,2995.79,522.83,15.53
INE552Z01027,FY24,0.45,14.94,2.05,0.07,3177.64,592.74,24.3
INE552Z01027,FY25,12.63,15.96,0.59,7.19,3343.87,672.68,48.19
INE552Z01027,FY26,13.73,17.27,0.69,8.16,3711.09,945.62,192.12
INE647O01011,FY23,-1.08,3.92,1.97,-0.38,12362.87,4815.71,183.14
INE647O01011,FY24,-15.61,-3.72,2.35,-6.52,6385.32,5832.37,188.15
INE647O01011,FY25,-5.52,-1.35,0.74,-3.53,7308.91,4027.06,199.17
INE647O01011,FY26,-13.29,-3.45,1.06,-6.38,8139.9,5031.66,106.78
INE00YB01025,FY23,21.34,21.15,0.91,4.94,123.09,5.31,2.37
INE00YB01025,FY24,14.0,16.52,0.5,0.3,183.81,37.3,1.08
INE00YB01025,FY25,14.61,14.64,0.78,0.34,208.17,36.35,0.33
INE00YB01025,FY26,11.43,14.14,0.52,0.3,256.21,42.83,0.0
