Symbol,Name,Region
SPX,S&P 500,USA
NDX,Nasdaq 100,USA
DJI,Dow Jones Industrial Average,USA
RUT,Russell 2000,USA
FTSE,FTSE 100,UK
DAX,DAX,Germany
CAC,CAC 40,France
SX5E,Euro Stoxx 50,Europe
N225,Nikkei 225,Japan
HSI,Hang Seng,Hong Kong
SSEC,Shanghai Composite,China
SZSC,Shenzhen Composite,China
KOSPI,KOSPI,South Korea
SENSEX,BSE Sensex,India
NIFTY50,Nifty 50,India
BANKNIFTY,Nifty Bank,India
ASX200,S&P/ASX 200,Australia
TSX,S&P/TSX Composite,Canada
BVSP,Bovespa,Brazil
MXX,IPC Mexico,Mexico
SMI,Swiss Market Index,Switzerland
AEX,AEX,Netherlands
IBEX,IBEX 35,Spain
FTSEMIB,FTSE MIB,Italy
STI,Straits Times Index,Singapore
