ISIN,Symbol,YahooTicker
INE002A01018,RELIANCE,RELIANCE.NS
INE397D01024,BHARTIARTL,BHARTIARTL.NS
INE040A01034,HDFCBANK,HDFCBANK.NS
INE090A01021,ICICIBANK,ICICIBANK.NS
INE062A01020,SBIN,SBIN.NS
INE467B01029,TCS,TCS.NS
INE296A01032,BAJFINANCE,BAJFINANCE.NS
INE018A01030,LT,LT.NS
INE0J1Y01017,LICI,LICI.NS
INE030A01027,HINDUNILVR,HINDUNILVR.NS
INE009A01021,INFY,INFY.NS
INE044A01036,SUNPHARMA,SUNPHARMA.NS
INE280A01028,TITAN,TITAN.NS
INE237A01036,KOTAKBANK,KOTAKBANK.NS
INE814H01029,ADANIPOWER,ADANIPOWER.NS
INE585B01010,MARUTI,MARUTI.NS
INE423A01024,ADANIENT,ADANIENT.NS
INE238A01034,AXISBANK,AXISBANK.NS
INE101A01026,M&M,M&M.NS
INE742F01042,ADANIPORTS,ADANIPORTS.NS
INE860A01027,HCLTECH,HCLTECH.NS
INE481G01011,ULTRACEMCO,ULTRACEMCO.NS
INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO.NS
INE154A01025,ITC,ITC.NS
INE066F01020,HAL,HAL.NS
INE019A01038,JSWSTEEL,JSWSTEEL.NS
INE733E01010,NTPC,NTPC.NS
INE918I01026,BAJAJFINSV,BAJAJFINSV.NS
INE758T01015,ETERNAL,ETERNAL.NS
INE263A01024,BEL,BEL.NS
INE213A01029,ONGC,ONGC.NS
INE239A01024,NESTLEIND,NESTLEIND.NS
INE522F01014,COALINDIA,COALINDIA.NS
INE267A01025,HINDZINC,HINDZINC.NS
INE752E01010,POWERGRID,POWERGRID.NS
INE192R01011,DMART,DMART.NS
INE721A01047,SHRIRAMFIN,SHRIRAMFIN.NS
INE021A01026,ASIANPAINT,ASIANPAINT.NS
INE361B01024,DIVISLAB,DIVISLAB.NS
INE081A01020,TATASTEEL,TATASTEEL.NS
INE038A01020,HINDALCO,HINDALCO.NS
INE047A01021,GRASIM,GRASIM.NS
INE364U01010,ADANIGREEN,ADANIGREEN.NS
INE066A01021,EICHERMOT,EICHERMOT.NS
INE494B01023,TVSMOTOR,TVSMOTOR.NS
INE242A01010,IOC,IOC.NS
INE343H01029,SOLARINDS,SOLARINDS.NS
INE646L01027,INDIGO,INDIGO.NS
INE685A01028,TORNTPHARM,TORNTPHARM.NS
INE0V6F01027,HYUNDAI,HYUNDAI.NS
INE123W01016,SBILIFE,SBILIFE.NS
INE075A01022,WIPRO,WIPRO.NS
INE931S01010,ADANIENSOL,ADANIENSOL.NS
INE1CDF01017,VAML,VAML.NS
INE775A01035,MOTHERSON,MOTHERSON.NS
INE271C01023,DLF,DLF.NS
INE1TAE01010,TMCV,TMCV.NS
INE318A01026,PIDILITIND,PIDILITIND.NS
INE669E01016,IDEA,IDEA.NS
INE976I01016,TATACAP,TATACAP.NS
INE758E01017,JIOFIN,JIOFIN.NS
INE117A01022,ABB,ABB.NS
INE669C01036,TECHM,TECHM.NS
INE121A01024,CHOLAFIN,CHOLAFIN.NS
INE849A01020,TRENT,TRENT.NS
INE257A01026,BHEL,BHEL.NS
INE346A01027,ICICIAMC,ICICIAMC.NS
INE692A01016,UNIONBANK,UNIONBANK.NS
INE003A01024,SIEMENS,SIEMENS.NS
INE07Y701011,POWERINDIA,POWERINDIA.NS
INE067A01029,CGPOWER,CGPOWER.NS
INE298A01020,CUMMINSIND,CUMMINSIND.NS
INE118H01025,BSE,BSE.NS
INE323A01026,BOSCHLTD,BOSCHLTD.NS
INE200M01039,VBL,VBL.NS
INE029A01011,BPCL,BPCL.NS
INE214T01019,LTM,LTM.NS
INE160A01022,PNB,PNB.NS
INE455K01017,POLYCAB,POLYCAB.NS
INE437A01024,APOLLOHOSP,APOLLOHOSP.NS
INE118A01012,BAJAJHLDNG,BAJAJHLDNG.NS
INE028A01039,BANKBARODA,BANKBARODA.NS
INE216A01030,BRITANNIA,BRITANNIA.NS
INE670K01029,LODHA,LODHA.NS
INE0HOQ01053,GROWW,GROWW.NS
INE956O01016,LENSKART,LENSKART.NS
INE749A01030,JINDALSTEL,JINDALSTEL.NS
INE795G01014,HDFCLIFE,HDFCLIFE.NS
INE562A01011,INDIANB,INDIANB.NS
INE245A01021,TATAPOWER,TATAPOWER.NS
INE134E01011,PFC,PFC.NS
INE414G01012,MUTHOOTFIN,MUTHOOTFIN.NS
INE155A01022,TMPV,TMPV.NS
INE640G01020,SBIFUNDS,SBIFUNDS.NS
INE129A01019,GAIL,GAIL.NS
INE476A01022,CANBK,CANBK.NS
INE010B01027,ZYDUSLIFE,ZYDUSLIFE.NS
INE059A01026,CIPLA,CIPLA.NS
INE324D01010,LGEINDIA,LGEINDIA.NS
INE1NPP01017,ENRIN,ENRIN.NS
INE674K01013,ABCAPITAL,ABCAPITAL.NS
INE200A01026,GVT&D,GVT&D.NS
INE053F01010,IRFC,IRFC.NS
INE854D01024,UNITDSPR,UNITDSPR.NS
INE982J01020,PAYTM,PAYTM.NS
INE205A01025,VEDL,VEDL.NS
INE158A01026,HEROMOTOCO,HEROMOTOCO.NS
INE196A01026,MARICO,MARICO.NS
INE127D01025,HDFCAMC,HDFCAMC.NS
INE881D01027,OFSS,OFSS.NS
INE776C01039,GMRAIRPORT,GMRAIRPORT.NS
INE281B01032,LLOYDSME,LLOYDSME.NS
INE053A01029,INDHOTEL,INDHOTEL.NS
INE079A01024,AMBUJACEM,AMBUJACEM.NS
INE192A01025,TATACONSUM,TATACONSUM.NS
INE249Z01020,MAZDOCK,MAZDOCK.NS
INE947Q01028,LAURUSLABS,LAURUSLABS.NS
INE121J01017,INDUSTOWER,INDUSTOWER.NS
INE208A01029,ASHOKLEY,ASHOKLEY.NS
INE121E01018,JSWENERGY,JSWENERGY.NS
INE008A01015,IDBI,IDBI.NS
INE0VDM01015,MEESHO,MEESHO.NS
INE326A01037,LUPIN,LUPIN.NS
INE634S01028,MANKIND,MANKIND.NS
INE089A01031,DRREDDY,DRREDDY.NS
INE406A01037,AUROPHARMA,AUROPHARMA.NS
INE027H01010,MAXHEALTH,MAXHEALTH.NS
INE459N01021,MANIPALHOS,MANIPALHOS.NS
INE388Y01029,NYKAA,NYKAA.NS
INE465A01025,BHARATFORG,BHARATFORG.NS
INE102D01028,GODREJCP,GODREJCP.NS
INE262H01021,PERSISTENT,PERSISTENT.NS
